,plotID,longitude,latitude,collectYear,collectDOY,soil_pH,soil_moisture,temp_celsius,precip_mm,temp_seasonality,precip_seasonality,fungal_diversity,domain,site,collectDate,shannon_diversity
88,BART_003,-71.26314599999999,44.055246999999994,2016,116,4.27,1.72,4.8,1300.0,96.58,10.0,11,Northeast,BART,2016-04-25,1.8961182462626078
89,BART_002,-71.27284399999999,44.035076000000004,2016,117,3.83,0.677,4.8,1300.0,96.58,10.0,22,Northeast,BART,2016-04-26,1.3964718669142964
90,BART_002,-71.27284399999999,44.035076000000004,2016,117,3.92,,4.8,1300.0,96.58,10.0,11,Northeast,BART,2016-04-26,1.5121498268517302
91,BART_002,-71.27284399999999,44.035076000000004,2016,117,3.51,0.652,4.8,1300.0,96.58,10.0,10,Northeast,BART,2016-04-26,1.0746170508969912
92,BART_042,-71.28805200000001,44.060194,2016,117,3.65,0.9229999999999999,4.8,1300.0,96.58,10.0,17,Northeast,BART,2016-04-26,1.6243516826079962
93,BART_042,-71.28805200000001,44.060194,2016,117,3.44,1.4040000000000001,4.8,1300.0,96.58,10.0,18,Northeast,BART,2016-04-26,2.1394194073749384
94,BART_042,-71.28805200000001,44.060194,2016,117,3.66,2.325,4.8,1300.0,96.58,10.0,14,Northeast,BART,2016-04-26,1.9019910594321536
95,BART_001,-71.306661,44.047079,2016,207,3.45,1.7919999999999998,4.8,1300.0,96.58,10.0,21,Northeast,BART,2016-07-25,2.3524410034843686
96,BART_004,-71.28692,44.041571000000005,2016,207,3.11,2.305,4.8,1300.0,96.58,10.0,23,Northeast,BART,2016-07-25,2.0507309872505863
97,BART_004,-71.28692,44.041571000000005,2016,207,3.09,3.2760000000000002,4.8,1300.0,96.58,10.0,26,Northeast,BART,2016-07-25,1.6440377582578982
98,BART_004,-71.28692,44.041571000000005,2016,207,3.0,2.265,4.8,1300.0,96.58,10.0,26,Northeast,BART,2016-07-25,1.7747932328777045
99,BART_042,-71.28805200000001,44.060194,2016,207,4.28,1.765,4.8,1300.0,96.58,10.0,8,Northeast,BART,2016-07-25,0.9580397395673531
100,BART_042,-71.28805200000001,44.060194,2016,207,3.28,1.197,4.8,1300.0,96.58,10.0,21,Northeast,BART,2016-07-25,1.7041293697399507
101,BART_003,-71.26314599999999,44.055246999999994,2016,208,4.32,1.54,4.8,1300.0,96.58,10.0,29,Northeast,BART,2016-07-26,1.989223341913313
102,BART_003,-71.26314599999999,44.055246999999994,2016,208,4.32,1.119,4.8,1300.0,96.58,10.0,20,Northeast,BART,2016-07-26,1.6059012322759052
103,BART_024,-71.26378199999999,44.052777,2016,208,3.22,0.447,4.8,1300.0,96.58,10.0,19,Northeast,BART,2016-07-26,2.4335976914821407
104,BART_024,-71.26378199999999,44.052777,2016,208,2.73,1.652,4.8,1300.0,96.58,10.0,26,Northeast,BART,2016-07-26,1.9698632202844844
105,BART_023,-71.263643,44.049319,2016,208,3.09,2.5639999999999996,4.8,1300.0,96.58,10.0,28,Northeast,BART,2016-07-26,2.4149050226794766
106,BART_023,-71.263643,44.049319,2016,208,3.32,0.977,4.8,1300.0,96.58,10.0,23,Northeast,BART,2016-07-26,2.6014998493243775
107,BART_023,-71.263643,44.049319,2016,208,2.84,2.7239999999999998,4.8,1300.0,96.58,10.0,22,Northeast,BART,2016-07-26,1.8941375618865464
108,BART_002,-71.27284399999999,44.035076000000004,2016,209,3.78,0.40399999999999997,4.8,1300.0,96.58,10.0,19,Northeast,BART,2016-07-27,2.563601798728332
109,BART_002,-71.27284399999999,44.035076000000004,2016,209,3.89,0.435,4.8,1300.0,96.58,10.0,20,Northeast,BART,2016-07-27,2.1217575238521147
110,BART_036,-71.285878,44.062082000000004,2016,209,3.0,0.965,4.8,1300.0,96.58,10.0,9,Northeast,BART,2016-07-27,0.8517184629928967
111,BART_036,-71.285878,44.062082000000004,2016,209,2.78,1.7080000000000002,4.8,1300.0,96.58,10.0,8,Northeast,BART,2016-07-27,1.4791574633033548
112,BART_036,-71.285878,44.062082000000004,2016,209,2.88,1.18,4.8,1300.0,96.58,10.0,19,Northeast,BART,2016-07-27,1.7386236110496045
113,BART_071,-71.290624,44.067944,2016,209,3.13,0.855,4.8,1300.0,96.58,10.0,13,Northeast,BART,2016-07-27,1.087323534000742
114,BART_071,-71.290624,44.067944,2016,209,3.82,0.708,4.8,1300.0,96.58,10.0,21,Northeast,BART,2016-07-27,2.0733257639806446
115,BART_040,-71.29199,44.06576,2016,209,3.6,0.973,4.8,1300.0,96.58,10.0,12,Northeast,BART,2016-07-27,0.9885696056440805
116,BART_040,-71.29199,44.06576,2016,209,3.2,1.632,4.8,1300.0,96.58,10.0,13,Northeast,BART,2016-07-27,1.951823350036095
117,HARV_001,-72.258285,42.424246000000004,2016,68,2.88,1.886,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,17,Northeast,HARV,2016-03-08,1.812019608702542
118,HARV_001,-72.258285,42.424246000000004,2016,68,3.43,0.953,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,10,Northeast,HARV,2016-03-08,0.7960765707199886
119,HARV_001,-72.258285,42.424246000000004,2016,68,3.11,1.9169999999999998,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,17,Northeast,HARV,2016-03-08,1.681604475998968
120,HARV_010,-72.2546,42.424733,2016,68,3.79,0.835,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,14,Northeast,HARV,2016-03-08,0.9676640523590287
121,HARV_010,-72.2546,42.424733,2016,68,3.18,1.6059999999999999,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,11,Northeast,HARV,2016-03-08,0.4270699647661498
122,HARV_004,-72.229737,42.427091,2016,68,3.56,1.1909999999999998,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,19,Northeast,HARV,2016-03-08,1.4119376210472263
123,HARV_004,-72.229737,42.427091,2016,68,3.86,1.942,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,16,Northeast,HARV,2016-03-08,1.901896492702024
124,HARV_004,-72.229737,42.427091,2016,68,3.48,2.0180000000000002,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,15,Northeast,HARV,2016-03-08,0.5448318835895838
125,HARV_002,-72.25957199999999,42.478565,2016,69,3.3,2.424,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,23,Northeast,HARV,2016-03-09,2.019966397623136
126,HARV_002,-72.25957199999999,42.478565,2016,69,3.54,1.369,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,14,Northeast,HARV,2016-03-09,0.5542875958520501
127,HARV_034,-72.177968,42.535686,2016,215,2.4,0.953,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,16,Northeast,HARV,2016-08-02,1.963028830563602
128,HARV_001,-72.258285,42.424246000000004,2016,216,3.12,0.863,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,21,Northeast,HARV,2016-08-03,0.7575053604414576
129,HARV_010,-72.2546,42.424733,2016,216,3.68,0.474,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,21,Northeast,HARV,2016-08-03,1.1308534580973422
130,HARV_010,-72.2546,42.424733,2016,216,3.43,0.321,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,16,Northeast,HARV,2016-08-03,1.0974506036401137
131,HARV_004,-72.229737,42.427091,2016,216,3.25,0.8540000000000001,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,23,Northeast,HARV,2016-08-03,1.779148951443063
132,HARV_004,-72.229737,42.427091,2016,216,3.14,0.992,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,16,Northeast,HARV,2016-08-03,1.1050455059417426
133,HARV_002,-72.25957199999999,42.478565,2016,222,3.04,0.359,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,9,Northeast,HARV,2016-08-09,0.6603847157294148
134,HARV_002,-72.25957199999999,42.478565,2016,222,2.97,0.946,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,10,Northeast,HARV,2016-08-09,0.5950488203182436
135,HARV_002,-72.25957199999999,42.478565,2016,222,3.37,0.659,7.4393939389999995,1133.166667,93.01757576,7.401515152000001,15,Northeast,HARV,2016-08-09,1.6842297886328734
136,TREE_001,-89.56988100000001,45.487728999999995,2016,200,4.82,0.805,4.5,808.0,110.84,44.0,20,Great Lakes,TREE,2016-07-18,2.3084358825657914
137,TREE_006,-89.55122800000001,45.491627,2016,201,4.26,0.138,4.5,808.0,110.84,44.0,5,Great Lakes,TREE,2016-07-19,1.187403748164236
138,TREE_046,-89.592162,45.49355,2016,201,4.23,0.305,4.5,808.0,110.84,44.0,2,Great Lakes,TREE,2016-07-19,0.13269142083987176
139,TREE_041,-89.58799499999999,45.494189,2016,201,4.33,0.22899999999999998,4.5,808.0,110.84,44.0,2,Great Lakes,TREE,2016-07-19,0.2145591551764051
140,UNDE_013,-89.53713,46.227897,2016,125,4.34,0.425,3.7,849.7752809,108.8970787,36.95505618,5,Great Lakes,UNDE,2016-05-04,0.29428250884833385
141,UNDE_013,-89.53713,46.227897,2016,125,5.07,0.168,3.7,849.7752809,108.8970787,36.95505618,2,Great Lakes,UNDE,2016-05-04,0.21903252178902116
142,UNDE_001,-89.560771,46.234625,2016,125,3.89,0.466,3.7,849.7752809,108.8970787,36.95505618,9,Great Lakes,UNDE,2016-05-04,1.1360671395585988
143,UNDE_007,-89.53613399999999,46.248703000000006,2016,125,4.53,0.32799999999999996,3.7,849.7752809,108.8970787,36.95505618,1,Great Lakes,UNDE,2016-05-04,-0.0
144,UNDE_007,-89.53613399999999,46.248703000000006,2016,126,4.33,0.45299999999999996,3.7,849.7752809,108.8970787,36.95505618,12,Great Lakes,UNDE,2016-05-05,2.149934985515318
145,UNDE_007,-89.53613399999999,46.248703000000006,2016,126,4.41,0.649,3.7,849.7752809,108.8970787,36.95505618,15,Great Lakes,UNDE,2016-05-05,1.0420534192129502
146,UNDE_019,-89.543562,46.258243,2016,126,4.22,0.29,3.7,849.7752809,108.8970787,36.95505618,5,Great Lakes,UNDE,2016-05-05,1.2025494174134423
147,UNDE_008,-89.515052,46.256192999999996,2016,138,4.38,0.259,3.7,849.7752809,108.8970787,36.95505618,14,Great Lakes,UNDE,2016-05-17,0.9788266738855188
148,UNDE_008,-89.515052,46.256192999999996,2016,138,4.48,0.17300000000000001,3.7,849.7752809,108.8970787,36.95505618,6,Great Lakes,UNDE,2016-05-17,1.4308442435245794
149,UNDE_034,-89.520942,46.248534,2016,138,4.41,0.23,3.7,849.7752809,108.8970787,36.95505618,6,Great Lakes,UNDE,2016-05-17,1.0949567262444855
150,UNDE_014,-89.513299,46.22596,2016,139,4.56,0.289,3.7,849.7752809,108.8970787,36.95505618,3,Great Lakes,UNDE,2016-05-18,1.0361987848192837
151,UNDE_014,-89.513299,46.22596,2016,139,4.5,0.266,3.7,849.7752809,108.8970787,36.95505618,2,Great Lakes,UNDE,2016-05-18,0.6809991432654108
152,UNDE_014,-89.513299,46.22596,2016,139,4.12,0.27699999999999997,3.7,849.7752809,108.8970787,36.95505618,4,Great Lakes,UNDE,2016-05-18,0.4504259740909788
153,UNDE_017,-89.496339,46.23796,2016,139,3.24,1.841,3.7,849.7752809,108.8970787,36.95505618,7,Great Lakes,UNDE,2016-05-18,1.7373375816041672
154,UNDE_017,-89.496339,46.23796,2016,139,3.87,0.389,3.7,849.7752809,108.8970787,36.95505618,15,Great Lakes,UNDE,2016-05-18,1.8588275387166635
155,UNDE_017,-89.496339,46.23796,2016,139,4.59,0.276,3.7,849.7752809,108.8970787,36.95505618,7,Great Lakes,UNDE,2016-05-18,0.5977392032030899
156,UNDE_035,-89.507901,46.218529,2016,140,4.05,0.156,3.7,849.7752809,108.8970787,36.95505618,8,Great Lakes,UNDE,2016-05-19,1.7653099420667973
157,UNDE_035,-89.507901,46.218529,2016,140,4.11,0.22399999999999998,3.7,849.7752809,108.8970787,36.95505618,17,Great Lakes,UNDE,2016-05-19,1.6547050068764197
158,UNDE_035,-89.507901,46.218529,2016,140,4.26,0.271,3.7,849.7752809,108.8970787,36.95505618,6,Great Lakes,UNDE,2016-05-19,1.4865693103273632
159,UNDE_027,-89.49004000000001,46.210824,2016,140,4.1,0.244,3.7,849.7752809,108.8970787,36.95505618,1,Great Lakes,UNDE,2016-05-19,-0.0
